Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
2019-01-01,10881.7,10923.6,10807.1,10910.1,159404542.0,8688.26
2019-01-02,10868.85,10895.35,10735.05,10792.5,309665939.0,15352.25
2019-01-03,10796.8,10814.05,10661.25,10672.25,286241745.0,15030.45
2019-01-04,10699.7,10741.05,10628.65,10727.35,296596655.0,14516.74
2019-01-07,10804.85,10835.95,10750.15,10771.8,269371080.0,12731.29
2019-01-08,10786.25,10818.45,10733.25,10802.15,277697672.0,13433.48
2019-01-09,10862.4,10870.4,10749.4,10855.15,333010535.0,16213.3
2019-01-10,10859.35,10859.35,10801.8,10821.6,254365477.0,12031.26
2019-01-11,10834.75,10850.15,10739.4,10794.95,260792200.0,13084.6
2019-01-14,10807.0,10808.0,10692.35,10737.6,298774178.0,12732.57
2019-01-15,10777.55,10896.95,10777.55,10886.8,310737078.0,14879.91
2019-01-16,10899.65,10928.15,10876.9,10890.3,276539042.0,13081.63
2019-01-17,10920.85,10930.65,10844.65,10905.2,271676319.0,13215.83
2019-01-18,10914.85,10928.2,10852.2,10906.95,323814108.0,16408.83
2019-01-21,10919.35,10987.45,10885.75,10961.85,288829125.0,17289.7
2019-01-22,10949.8,10949.8,10864.15,10922.75,300768112.0,17483.62
2019-01-23,10931.05,10944.8,10811.95,10831.5,298876314.0,14736.91
2019-01-24,10844.05,10866.6,10798.65,10849.8,361082096.0,15298.48
2019-01-25,10859.75,10931.7,10756.45,10780.55,463444758.0,20542.36
2019-01-28,10792.45,10804.45,10630.95,10661.55,419682627.0,21144.33
2019-01-29,10653.7,10690.35,10583.65,10652.2,356908994.0,18832.06
2019-01-30,10702.25,10710.2,10612.85,10651.8,410107910.0,21214.81
2019-01-31,10690.55,10838.05,10678.55,10830.95,604818027.0,27471.18
2019-02-01,10851.35,10983.45,10813.45,10893.65,482272661.0,23112.37
2019-02-04,10876.75,10927.9,10814.15,10912.25,318300039.0,15478.81
2019-02-05,10908.65,10956.7,10886.7,10934.35,268095127.0,13435.13
2019-02-06,10965.1,11072.6,10962.7,11062.45,298510497.0,15172.85
2019-02-07,11070.45,11118.1,11043.6,11069.4,263544426.0,13542.69
2019-02-08,11023.5,11041.2,10925.45,10943.6,352787419.0,15507.05
2019-02-11,10930.9,10930.9,10857.1,10888.8,285985383.0,13818.92
2019-02-12,10879.7,10910.9,10823.8,10831.4,292314643.0,14424.78
2019-02-13,10870.55,10891.65,10772.1,10793.65,321958549.0,15360.98
2019-02-14,10786.1,10792.7,10718.75,10746.05,627041405.0,20797.41
2019-02-15,10780.25,10785.75,10620.4,10724.4,521876968.0,20733.95
2019-02-18,10738.65,10759.9,10628.4,10640.95,345440240.0,14903.19
2019-02-19,10636.7,10722.85,10585.65,10604.35,291507060.0,13765.01
2019-02-20,10655.45,10752.7,10646.4,10735.45,289195306.0,13209.71
2019-02-21,10744.1,10808.85,10721.5,10789.85,279584955.0,14758.5
2019-02-22,10782.7,10801.55,10758.4,10791.65,396846597.0,24386.42
2019-02-25,10813.25,10887.1,10788.05,10880.1,385905142.0,16466.09
2019-02-26,10775.3,10888.75,10729.3,10835.3,414954476.0,19186.75
2019-02-27,10881.2,10939.7,10751.2,10806.65,381080073.0,18313.85
2019-02-28,10865.7,10865.7,10784.85,10792.5,644159018.0,27123.34
2019-03-01,10842.65,10877.9,10823.1,10863.5,308526309.0,15010.06
2019-03-05,10864.85,10994.9,10817.0,10987.45,373220239.0,17960.03
2019-03-06,11024.85,11062.3,10998.85,11053.0,372550850.0,17850.93
2019-03-07,11077.95,11089.05,11027.1,11058.2,321208766.0,15321.68
2019-03-08,11038.85,11049.0,11008.95,11035.4,326569833.0,14369.77
2019-03-11,11068.75,11180.9,11059.85,11168.05,352242287.0,17349.95
2019-03-12,11231.35,11320.4,11227.0,11301.2,391310519.0,20861.35
2019-03-13,11326.2,11352.3,11276.6,11341.7,382996187.0,20851.67
2019-03-14,11382.5,11383.45,11313.75,11343.25,294480678.0,15661.05
2019-03-15,11376.85,11487.0,11370.8,11426.85,463704896.0,25143.26
2019-03-18,11473.85,11530.15,11412.5,11462.2,320250041.0,16942.22
2019-03-19,11500.3,11543.85,11451.25,11532.4,326099667.0,16179.92
2019-03-20,11553.35,11556.1,11503.1,11521.05,366298049.0,18311.44
2019-03-22,11549.2,11572.8,11434.55,11456.9,386193935.0,19755.74
2019-03-25,11395.65,11395.65,11311.6,11354.25,294459196.0,14101.14
2019-03-26,11375.2,11496.75,11352.45,11483.25,282575496.0,14611.68
2019-03-27,11531.45,11546.2,11413.0,11445.05,350446089.0,18356.52
2019-03-28,11463.65,11588.5,11452.45,11570.0,527678809.0,25719.65
2019-03-29,11625.45,11630.35,11570.15,11623.9,416276981.0,20515.25
2019-04-01,11665.2,11738.1,11644.75,11669.15,379572660.0,18977.99
2019-04-02,11711.55,11729.35,11655.85,11713.2,386131413.0,18673.7
2019-04-03,11735.3,11761.0,11629.15,11643.95,365760070.0,19050.95
2019-04-04,11660.2,11662.55,11559.2,11598.0,349029830.0,19713.01
2019-04-05,11638.4,11689.65,11609.5,11665.95,266665797.0,15000.35
2019-04-08,11704.35,11710.3,11549.1,11604.5,260932608.0,14203.96
2019-04-09,11612.05,11683.9,11569.7,11671.95,300467538.0,15984.39
2019-04-10,11646.85,11680.05,11571.75,11584.3,359941110.0,22258.46
2019-04-11,11592.55,11606.7,11550.55,11596.7,279775726.0,14332.2
2019-04-12,11612.85,11657.35,11578.8,11643.45,246006184.0,13598.61
2019-04-15,11667.0,11704.6,11648.25,11690.35,289996075.0,15635.79
2019-04-16,11736.2,11810.95,11731.55,11787.15,354315040.0,17585.48
2019-04-18,11856.15,11856.15,11738.5,11752.8,339653709.0,18271.27
2019-04-22,11727.05,11727.05,11583.95,11594.45,260356055.0,13754.12
2019-04-23,11612.95,11645.95,11564.8,11575.95,272544486.0,14500.53
2019-04-24,11601.5,11740.85,11578.85,11726.15,335196513.0,17046.66
2019-04-25,11735.7,11796.75,11624.3,11641.8,604360395.0,28254.3
2019-04-26,11683.75,11762.9,11661.75,11754.65,333483764.0,18098.83
2019-04-30,11748.75,11756.25,11655.9,11748.15,532630874.0,23324.98
2019-05-02,11725.55,11789.3,11699.55,11724.75,380278045.0,17790.06
2019-05-03,11722.6,11770.9,11699.35,11712.25,305519934.0,15156.32
2019-05-06,11605.8,11632.55,11571.35,11598.25,299046480.0,14703.42
2019-05-07,11651.5,11657.05,11484.45,11497.9,337495624.0,16632.84
2019-05-08,11478.7,11479.1,11346.95,11359.45,372826025.0,17440.01
2019-05-09,11322.4,11357.6,11255.05,11301.8,373028059.0,17602.86
2019-05-10,11314.15,11345.8,11251.05,11278.9,387323416.0,18085.19
2019-05-13,11258.7,11300.2,11125.6,11148.2,357586433.0,16722.91
2019-05-14,11151.65,11294.75,11108.3,11222.05,398122725.0,19906.38
2019-05-15,11271.7,11286.8,11136.95,11157.0,414174258.0,17931.75
2019-05-16,11180.35,11281.55,11143.35,11257.1,350734572.0,15629.57
2019-05-17,11261.9,11426.15,11259.85,11407.15,412109200.0,20177.63
2019-05-20,11651.9,11845.2,11591.7,11828.25,452096261.0,25223.78
2019-05-21,11863.65,11883.55,11682.8,11709.1,381038129.0,20324.67
2019-05-22,11727.95,11784.8,11682.4,11737.9,355870667.0,19582.41
2019-05-23,11901.3,12041.15,11614.5,11657.05,569030654.0,31180.08
2019-05-24,11748.0,11859.0,11658.1,11844.1,374637415.0,20028.49
2019-05-27,11855.5,11957.15,11812.4,11924.75,348356214.0,17735.36
2019-05-28,11958.35,11958.55,11864.9,11928.75,598308334.0,28833.54
2019-05-29,11905.8,11931.9,11836.8,11861.1,318068673.0,15985.92
2019-05-30,11865.3,11968.55,11859.4,11945.9,421199867.0,20261.85
2019-05-31,11999.8,12039.25,11829.45,11922.8,438879129.0,22789.0
2019-06-03,11953.75,12103.05,11920.1,12088.55,315296955.0,17451.36
2019-06-04,12052.65,12095.2,12005.85,12021.65,289221904.0,15308.28
2019-06-06,12039.8,12039.8,11830.25,11843.75,415206942.0,21144.77
2019-06-07,11865.2,11897.5,11769.5,11870.65,302455910.0,14939.4
2019-06-10,11934.9,11975.05,11871.75,11922.7,303329445.0,13125.41
2019-06-11,11959.85,12000.35,11904.35,11965.6,332181958.0,15392.28
2019-06-12,11962.45,11962.45,11866.35,11906.2,283718253.0,14120.17
2019-06-13,11873.9,11931.35,11817.05,11914.05,447901993.0,18680.91
2019-06-14,11910.1,11911.85,11797.7,11823.3,390294634.0,16226.57
2019-06-17,11844.0,11844.05,11657.75,11672.15,295528399.0,13851.67
2019-06-18,11677.05,11727.2,11641.15,11691.5,365525622.0,16120.69
2019-06-19,11744.45,11802.5,11625.1,11691.45,446933027.0,18722.71
2019-06-20,11653.65,11843.5,11635.05,11831.75,442016954.0,18839.11
2019-06-21,11827.6,11827.95,11705.1,11724.1,468430388.0,23346.13
2019-06-24,11725.8,11754.0,11670.2,11699.65,277620788.0,12631.38
2019-06-25,11681.0,11814.4,11651.0,11796.45,300476353.0,13822.83
2019-06-26,11768.15,11871.85,11757.55,11847.55,327885018.0,14650.89
2019-06-27,11860.85,11911.15,11821.05,11841.55,480169350.0,23300.3
2019-06-28,11861.15,11871.7,11775.5,11788.85,303888701.0,15191.9
2019-07-01,11839.9,11884.65,11830.8,11865.6,278415889.0,12874.96
2019-07-02,11890.3,11917.45,11814.7,11910.3,363197036.0,13615.94
2019-07-03,11932.15,11945.2,11887.05,11916.75,340527508.0,14290.33
2019-07-04,11928.8,11969.25,11923.65,11946.75,333595172.0,14758.87
2019-07-05,11964.75,11981.75,11797.9,11811.15,530720039.0,18871.99
2019-07-08,11770.4,11771.9,11523.3,11558.6,464029444.0,19146.25
2019-07-09,11531.6,11582.55,11461.0,11555.9,442520253.0,21577.95
2019-07-10,11536.15,11593.7,11475.65,11498.9,337571014.0,16098.53
2019-07-11,11561.45,11599.0,11519.5,11582.9,317257578.0,14586.2
2019-07-12,11601.15,11639.55,11538.6,11552.5,359421182.0,16947.57
2019-07-15,11614.75,11618.4,11532.3,11588.35,368788782.0,15835.99
2019-07-16,11596.65,11670.05,11573.95,11662.6,480156167.0,15967.91
2019-07-17,11670.75,11706.65,11651.15,11687.5,464827734.0,15250.5
2019-07-18,11675.6,11677.15,11582.4,11596.9,498258158.0,16684.03
2019-07-19,11627.95,11640.35,11399.3,11419.25,446049198.0,17326.4
2019-07-22,11392.85,11398.15,11301.25,11346.2,516044335.0,19304.23
2019-07-23,11372.25,11398.15,11302.8,11331.05,458931191.0,19199.32
2019-07-24,11322.45,11359.75,11229.8,11271.3,413202832.0,18353.13
2019-07-25,11290.4,11361.4,11239.35,11252.15,553676897.0,24329.21
2019-07-26,11247.45,11307.6,11210.05,11284.3,522670420.0,20350.38
2019-07-29,11307.5,11310.95,11152.4,11189.2,482862376.0,18705.92
2019-07-30,11213.7,11267.45,11072.65,11085.4,479059399.0,20545.71
2019-07-31,11034.05,11145.3,10999.4,11118.0,536694278.0,23681.22
2019-08-01,11060.2,11076.75,10881.0,10980.0,499918953.0,21048.32
2019-08-02,10930.3,11080.15,10848.95,10997.35,547416246.0,23972.04
2019-08-05,10895.8,10895.8,10782.6,10862.6,506556609.0,20824.1
2019-08-06,10815.4,11018.55,10813.8,10948.25,517891491.0,21676.4
2019-08-07,10958.1,10975.65,10835.9,10855.5,548465787.0,21228.28
2019-08-08,10899.2,11058.05,10842.95,11032.45,482471622.0,20667.6
2019-08-09,11087.9,11181.45,11062.8,11109.65,538063563.0,21092.05
2019-08-13,11139.4,11145.9,10901.6,10925.85,624634647.0,24790.67
2019-08-14,11003.25,11078.15,10935.6,11029.4,511541716.0,19712.81
2019-08-16,11043.65,11068.65,10924.3,11047.8,470909918.0,19281.91
2019-08-19,11094.8,11146.9,11037.85,11053.9,369493161.0,14120.35
2019-08-20,11063.9,11076.3,10985.3,11017.0,444715679.0,16915.96
2019-08-21,11018.15,11034.2,10906.65,10918.7,557867906.0,16747.99
2019-08-22,10905.3,10908.25,10718.3,10741.35,668193449.0,18764.38
2019-08-23,10699.6,10862.55,10637.15,10829.35,667079625.0,20983.75
